timestamp,open,high,low,close,volume
2021-05-17T08:00:00,45175.74,45565.44,44740.00,45359.03,27949.471
2021-05-17T09:00:00,45355.42,45567.48,45012.00,45458.58,18741.856
2021-05-17T10:00:00,45458.59,45550.00,44500.00,44620.50,24701.158
2021-05-17T11:00:00,44620.28,45874.20,44428.00,45799.97,27757.133
2021-05-17T12:00:00,45799.97,45861.41,44757.58,44980.97,25539.248
2021-05-17T13:00:00,44980.96,45284.50,44610.11,45072.32,20884.778
2021-05-17T14:00:00,45070.56,45185.96,43810.00,44488.79,33229.711
2021-05-17T15:00:00,44488.80,44686.58,43207.31,43401.14,39664.373
2021-05-17T16:00:00,43401.14,43884.89,42563.36,42629.97,49378.243
2021-05-17T17:00:00,42629.98,43232.35,42151.00,42641.47,47621.416
2021-05-17T18:00:00,42641.35,43785.78,42368.02,43535.00,38485.323
2021-05-17T19:00:00,43535.00,44429.59,43535.00,44246.97,23190.972
2021-05-17T20:00:00,44246.99,44995.00,44104.16,44800.00,19946.818
2021-05-17T21:00:00,44800.00,44860.00,43328.72,43576.59,22290.779
2021-05-17T22:00:00,43576.58,44445.10,42664.19,42944.15,32625.884
2021-05-17T23:00:00,42941.77,43882.56,42525.30,43566.18,37282.294
2021-05-18T00:00:00,43565.11,44666.00,43189.26,44421.68,31486.405
2021-05-18T01:00:00,44421.69,45332.40,44345.33,45117.46,25207.669
2021-05-18T02:00:00,45117.45,45318.95,44570.24,45060.72,16568.859
2021-05-18T03:00:00,45060.72,45100.00,44715.00,44819.75,10401.028
2021-05-18T04:00:00,44819.76,45578.80,44785.65,45342.00,18619.212
2021-05-18T05:00:00,45343.47,45520.97,45072.49,45379.64,13876.713
2021-05-18T06:00:00,45377.37,45846.61,44832.47,44937.56,23786.621
2021-05-18T07:00:00,44937.55,45250.42,44862.78,45175.91,15178.859
2021-05-18T08:00:00,45175.90,45443.89,44872.23,44949.81,13929.557
2021-05-18T09:00:00,44949.80,45171.46,44644.08,44981.15,16474.523
2021-05-18T10:00:00,44981.16,45523.19,44765.63,45392.28,14370.681
2021-05-18T11:00:00,45392.28,45692.56,45155.21,45366.00,15328.135
2021-05-18T12:00:00,45366.01,45393.27,43754.46,43985.88,42991.758
2021-05-18T13:00:00,43985.88,44096.00,43300.00,43717.95,40714.794
2021-05-18T14:00:00,43717.94,43721.60,42675.00,43269.57,49532.411
2021-05-18T15:00:00,43269.57,43825.15,42806.92,43000.01,37935.902
2021-05-18T16:00:00,43000.00,43697.00,42634.52,43630.06,40704.506
2021-05-18T17:00:00,43630.06,43849.41,43307.68,43363.90,20649.236
2021-05-18T18:00:00,43362.82,43366.20,42400.00,42820.01,34800.368
2021-05-18T19:00:00,42820.01,43644.14,42525.00,43283.16,27312.216
2021-05-18T20:00:00,43283.15,43562.01,42732.18,43278.34,20186.082
2021-05-18T21:00:00,43278.35,43521.26,42800.00,43014.43,15333.947
2021-05-18T22:00:00,43014.43,43271.91,42725.00,42839.64,14554.125
2021-05-18T23:00:00,42842.47,43210.00,42268.00,42882.53,30414.985
2021-05-19T00:00:00,42882.54,43615.93,42508.94,42634.59,34538.384
2021-05-19T01:00:00,42634.86,42723.15,40500.53,40875.75,76709.472
2021-05-19T02:00:00,40875.75,41326.57,40256.44,40337.06,42713.840
2021-05-19T03:00:00,40332.45,41090.00,40128.00,40635.30,39560.734
2021-05-19T04:00:00,40638.04,40886.88,38644.87,39342.90,96589.517
2021-05-19T05:00:00,39341.94,39987.00,39061.23,39270.33,55183.989
2021-05-19T06:00:00,39270.30,39926.29,39110.89,39422.74,35767.020
2021-05-19T07:00:00,39422.40,40522.37,38500.00,40372.57,64148.552
2021-05-19T08:00:00,40369.92,40853.00,39880.00,40491.13,35778.502
2021-05-19T09:00:00,40491.12,40728.50,40060.00,40359.66,24001.372
2021-05-19T10:00:00,40359.68,40462.83,38917.01,39464.19,53896.981
2021-05-19T11:00:00,39464.20,39580.00,36100.00,38708.85,124221.631
2021-05-19T12:00:00,38710.27,39263.52,31865.51,35060.39,143644.975
2021-05-19T13:00:00,35060.39,36580.00,28688.00,35650.00,67213.117
2021-05-19T14:00:00,35649.99,37618.00,32620.00,37435.85,61496.230
2021-05-19T15:00:00,37438.28,37860.00,36403.88,37304.85,71286.491
2021-05-19T16:00:00,37304.85,40145.00,36080.74,39638.23,83640.762
2021-05-19T17:00:00,39635.74,40497.81,38865.54,39372.57,50487.275
2021-05-19T18:00:00,39372.55,39629.27,37635.34,38020.96,44048.467
2021-05-19T19:00:00,38020.96,39519.41,37730.00,39340.27,33587.356
2021-05-19T20:00:00,39337.79,40169.08,38002.00,38222.45,33217.381
2021-05-19T21:00:00,38225.33,38950.00,37000.00,38782.93,29706.607
2021-05-19T22:00:00,38782.94,39641.75,38270.00,39073.80,29697.443
2021-05-19T23:00:00,39073.80,39261.54,36603.29,36689.14,42715.751
2021-05-20T00:00:00,36689.14,38187.70,34882.00,35803.92,62223.403
2021-05-20T01:00:00,35802.24,37517.20,35518.26,36973.38,55526.557
2021-05-20T02:00:00,36974.73,38289.94,36843.31,38054.78,26479.582
2021-05-20T03:00:00,38054.78,38600.00,37844.30,38341.24,20322.398
