timestamp,open,high,low,close,volume
2021-05-17T15:00:00,3394.13,3418.00,3271.60,3290.32,270694.957
2021-05-17T16:00:00,3290.65,3341.06,3205.00,3209.74,316645.580
2021-05-17T17:00:00,3209.69,3252.84,3125.62,3204.55,369196.260
2021-05-17T18:00:00,3204.33,3378.00,3170.21,3351.84,323507.981
2021-05-17T19:00:00,3351.83,3403.79,3346.00,3382.47,170451.325
2021-05-17T20:00:00,3382.57,3454.65,3368.28,3439.99,130963.756
2021-05-17T21:00:00,3440.00,3441.98,3249.81,3263.88,184461.994
2021-05-17T22:00:00,3263.88,3348.32,3192.84,3227.91,223309.197
2021-05-17T23:00:00,3227.81,3322.51,3201.18,3283.58,211605.387
2021-05-18T00:00:00,3283.23,3378.93,3240.06,3357.60,195754.590
2021-05-18T01:00:00,3357.68,3420.00,3351.67,3404.03,121726.673
2021-05-18T02:00:00,3403.80,3421.53,3350.09,3408.00,107830.967
2021-05-18T03:00:00,3407.99,3410.00,3375.00,3385.99,71817.908
2021-05-18T04:00:00,3386.00,3533.00,3381.02,3511.44,191792.219
2021-05-18T05:00:00,3511.43,3550.00,3493.95,3523.42,128241.188
2021-05-18T06:00:00,3523.42,3559.55,3459.65,3466.80,145563.486
2021-05-18T07:00:00,3466.80,3516.00,3465.00,3513.89,121408.368
2021-05-18T08:00:00,3513.82,3529.94,3473.16,3484.12,109916.479
2021-05-18T09:00:00,3484.11,3495.82,3437.00,3473.43,119870.317
2021-05-18T10:00:00,3473.42,3519.00,3447.55,3519.00,91741.032
2021-05-18T11:00:00,3518.99,3570.27,3493.13,3538.74,125381.106
2021-05-18T12:00:00,3538.74,3545.00,3392.66,3422.08,267685.322
2021-05-18T13:00:00,3421.59,3441.25,3345.97,3370.24,291482.743
2021-05-18T14:00:00,3369.98,3371.17,3260.00,3316.72,345694.302
2021-05-18T15:00:00,3316.71,3398.00,3276.83,3346.93,270697.171
2021-05-18T16:00:00,3346.94,3439.91,3311.54,3425.60,248639.526
2021-05-18T17:00:00,3425.41,3440.00,3388.62,3399.67,129535.287
2021-05-18T18:00:00,3399.66,3399.80,3331.01,3365.61,156786.314
2021-05-18T19:00:00,3365.56,3421.22,3328.00,3404.06,155004.400
2021-05-18T20:00:00,3403.91,3452.10,3362.57,3432.15,116928.005
2021-05-18T21:00:00,3432.00,3466.70,3390.00,3404.38,89668.029
2021-05-18T22:00:00,3404.38,3424.93,3366.92,3371.85,80865.423
2021-05-18T23:00:00,3371.85,3403.81,3325.00,3376.35,158212.415
2021-05-19T00:00:00,3377.03,3446.24,3351.00,3355.89,158084.537
2021-05-19T01:00:00,3355.89,3356.61,3160.57,3192.92,335728.101
2021-05-19T02:00:00,3192.71,3238.84,3108.00,3113.84,307299.503
2021-05-19T03:00:00,3113.66,3155.00,3059.62,3103.42,318909.284
2021-05-19T04:00:00,3103.72,3139.34,2860.70,2936.67,711339.198
2021-05-19T05:00:00,2936.66,3032.68,2912.47,2932.14,485353.445
2021-05-19T06:00:00,2932.14,3018.00,2926.60,2947.67,243482.985
